"Step","TrajLen","StarGunner-v5__ppo_noisy_net - charts/traj_len__MIN","StarGunner-v5__ppo_noisy_net - charts/traj_len__MAX"
"8978432","765.34375","765.34375","765.34375"
"8994816","749.078125","749.078125","749.078125"
"9011200","759.640625","759.640625","759.640625"
"9027584","754.2421875","754.2421875","754.2421875"
"9043968","734.03125","734.03125","734.03125"
"9060352","737.53125","737.53125","737.53125"
"9076736","733.5625","733.5625","733.5625"
"9093120","746.5703125","746.5703125","746.5703125"
"9109504","745.015625","745.015625","745.015625"
"9125888","763.71875","763.71875","763.71875"
"9142272","771.5234375","771.5234375","771.5234375"
"9158656","760.5","760.5","760.5"
"9175040","757.1640625","757.1640625","757.1640625"
"9191424","759.90625","759.90625","759.90625"
"9207808","768.1328125","768.1328125","768.1328125"
"9224192","775.7578125","775.7578125","775.7578125"
"9240576","793.78125","793.78125","793.78125"
"9256960","798.71875","798.71875","798.71875"
"9273344","793.984375","793.984375","793.984375"
"9289728","792.578125","792.578125","792.578125"
"9306112","778.578125","778.578125","778.578125"
"9322496","779.171875","779.171875","779.171875"
"9338880","763.1015625","763.1015625","763.1015625"
"9355264","780.40625","780.40625","780.40625"
"9371648","779.8984375","779.8984375","779.8984375"
"9388032","784.7421875","784.7421875","784.7421875"
"9404416","776.8359375","776.8359375","776.8359375"
"9420800","764.921875","764.921875","764.921875"
"9437184","775.1953125","775.1953125","775.1953125"
"9453568","791.1796875","791.1796875","791.1796875"
"9469952","793.359375","793.359375","793.359375"
"9486336","792.4609375","792.4609375","792.4609375"
"9502720","807.25","807.25","807.25"
"9519104","820.5703125","820.5703125","820.5703125"
"9535488","822.40625","822.40625","822.40625"
"9551872","823.2734375","823.2734375","823.2734375"
"9568256","820.453125","820.453125","820.453125"
"9584640","833.9296875","833.9296875","833.9296875"
"9601024","827.2578125","827.2578125","827.2578125"
"9617408","827.8203125","827.8203125","827.8203125"
"9633792","807.2734375","807.2734375","807.2734375"
"9650176","799.4296875","799.4296875","799.4296875"
"9666560","791.9140625","791.9140625","791.9140625"
"9682944","790.2265625","790.2265625","790.2265625"
"9699328","794.0234375","794.0234375","794.0234375"
"9715712","793.265625","793.265625","793.265625"
"9732096","801.921875","801.921875","801.921875"
"9748480","814.453125","814.453125","814.453125"
"9764864","827.125","827.125","827.125"
"9781248","841.78125","841.78125","841.78125"
"9797632","854.5234375","854.5234375","854.5234375"
"9814016","847.8203125","847.8203125","847.8203125"
"9830400","847.1953125","847.1953125","847.1953125"
